"Cód.";"Município";"Grupos de área total";"Arroz em casca";"Milho em grão";"Soja em grão"
"1101500";"Seringueiras (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101500";"Seringueiras (RO)";"De 1.000 a menos de 2.500 ha";"X";"-";"X"
"1101500";"Seringueiras (RO)";"De 2.500 a menos de 10.000 ha";"-";"X";"X"
"1101500";"Seringueiras (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101559";"Teixeirópolis (RO)";"De 200 a menos de 500 ha";"-";"X";"-"
"1101559";"Teixeirópolis (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101559";"Teixeirópolis (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101559";"Teixeirópolis (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101559";"Teixeirópolis (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101609";"Theobroma (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1101609";"Theobroma (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101609";"Theobroma (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"X"
"1101609";"Theobroma (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101609";"Theobroma (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101708";"Urupá (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1101708";"Urupá (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101708";"Urupá (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101708";"Urupá (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101708";"Urupá (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101757";"Vale do Anari (RO)";"De 200 a menos de 500 ha";"X";"X";"X"
"1101757";"Vale do Anari (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1101757";"Vale do Anari (RO)";"De 1.000 a menos de 2.500 ha";"X";"X";"-"
"1101757";"Vale do Anari (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101757";"Vale do Anari (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101807";"Vale do Paraíso (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1101807";"Vale do Paraíso (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101807";"Vale do Paraíso (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101807";"Vale do Paraíso (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101807";"Vale do Paraíso (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1200013";"Acrelândia (AC)";"De 200 a menos de 500 ha";"5";"192";"-"
"1200013";"Acrelândia (AC)";"De 500 a menos de 1.000 ha";"-";"53";"-"
"1200013";"Acrelândia (AC)";"De 1.000 a menos de 2.500 ha";"-";"138";"-"
"1200013";"Acrelândia (AC)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1200013";"Acrelândia (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200054";"Assis Brasil (AC)";"De 200 a menos de 500 ha";"52";"152";"-"
"1200054";"Assis Brasil (AC)";"De 500 a menos de 1.000 ha";"12";"33";"-"
"1200054";"Assis Brasil (AC)";"De 1.000 a menos de 2.500 ha";"X";"X";"-"
"1200054";"Assis Brasil (AC)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1200054";"Assis Brasil (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200104";"Brasiléia (AC)";"De 200 a menos de 500 ha";"98";"671";"-"
"1200104";"Brasiléia (AC)";"De 500 a menos de 1.000 ha";"71";"313";"-"
"1200104";"Brasiléia (AC)";"De 1.000 a menos de 2.500 ha";"7";"21";"-"
"1200104";"Brasiléia (AC)";"De 2.500 a menos de 10.000 ha";"-";"X";"-"
"1200104";"Brasiléia (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200138";"Bujari (AC)";"De 200 a menos de 500 ha";"-";"29";"-"
"1200138";"Bujari (AC)";"De 500 a menos de 1.000 ha";"X";"53";"-"
"1200138";"Bujari (AC)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1200138";"Bujari (AC)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1200138";"Bujari (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200179";"Capixaba (AC)";"De 200 a menos de 500 ha";"27";"113";"-"
"1200179";"Capixaba (AC)";"De 500 a menos de 1.000 ha";"X";"9";"-"
"1200179";"Capixaba (AC)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1200179";"Capixaba (AC)";"De 2.500 a menos de 10.000 ha";"-";"X";"-"
"1200179";"Capixaba (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200203";"Cruzeiro do Sul (AC)";"De 200 a menos de 500 ha";"-";"X";"-"
"1200203";"Cruzeiro do Sul (AC)";"De 500 a menos de 1.000 ha";"X";"X";"-"
"1200203";"Cruzeiro do Sul (AC)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1200203";"Cruzeiro do Sul (AC)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1200203";"Cruzeiro do Sul (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200252";"Epitaciolândia (AC)";"De 200 a menos de 500 ha";"76";"353";"-"
"1200252";"Epitaciolândia (AC)";"De 500 a menos de 1.000 ha";"26";"131";"-"
"1200252";"Epitaciolândia (AC)";"De 1.000 a menos de 2.500 ha";"9";"24";"-"
"1200252";"Epitaciolândia (AC)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1200252";"Epitaciolândia (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200302";"Feijó (AC)";"De 200 a menos de 500 ha";"6";"354";"-"
"1200302";"Feijó (AC)";"De 500 a menos de 1.000 ha";"-";"191";"-"
"1200302";"Feijó (AC)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1200302";"Feijó (AC)";"De 2.500 a menos de 10.000 ha";"-";"X";"-"
"1200302";"Feijó (AC)";"De 10.000 ha e mais";"-";"-";"-"
"1200328";"Jordão (AC)";"De 200 a menos de 500 ha";"-";"X";"-"
