"id_municipio","muni","acessos_2019","pop_resid_estimada_2019","acessos_cada_100_mil_hab","class_acessos_100mil_2019"
1600303,"Macapá (AP)",4408944,503327,875960.16108812,"Muito Alto"
1600402,"Mazagão (AP)",48344,21632,223483.727810651,"Baixo"
1600501,"Oiapoque (AP)",131169,27270,481001.100110011,"Médio Alto"
1600535,"Porto Grande (AP)",69771,21971,317559.510263529,"Médio Baixo"
1600550,"Pracuúba (AP)",10195,5120,199121.09375,"Baixo"
1600600,"Santana (AP)",727025,121364,599045.02158795,"Alto"
1600709,"Tartarugalzinho (AP)",34430,17315,198844.932139763,"Baixo"
1600808,"Vitória do Jari (AP)",38118,15931,239269.349067855,"Baixo"
1700251,"Abreulândia (TO)",11945,2579,463164.017060876,"Médio Alto"
1700301,"Aguiarnópolis (TO)",15356,6733,228070.696569137,"Baixo"
1700350,"Aliança do Tocantins (TO)",30453,5390,564990.723562152,"Alto"
1700400,"Almas (TO)",29350,7055,416017.009213324,"Médio Alto"
1700707,"Alvorada (TO)",60427,8412,718342.843556824,"Muito Alto"
1701002,"Ananás (TO)",52974,9549,554759.660697455,"Alto"
1701051,"Angico (TO)",12349,3433,359714.535391786,"Médio Alto"
1701101,"Aparecida do Rio Negro (TO)",21831,4795,455286.757038582,"Médio Alto"
1701309,"Aragominas (TO)",18090,5758,314171.587356721,"Médio Baixo"
1701903,"Araguacema (TO)",23025,7086,324936.49449619,"Médio Baixo"
1702000,"Araguaçu (TO)",43386,8517,509404.719971821,"Alto"
1702109,"Araguaína (TO)",1393635,180470,772225.300603978,"Muito Alto"
1702158,"Araguanã (TO)",21996,5729,383941.351021121,"Médio Alto"
1702208,"Araguatins (TO)",151290,35761,423058.639299796,"Médio Alto"
1702307,"Arapoema (TO)",41590,6643,626072.557579407,"Alto"
1702406,"Arraias (TO)",28483,10567,269546.701996782,"Médio Baixo"
1702554,"Augustinópolis (TO)",92296,18412,501281.772756898,"Alto"
1702703,"Aurora do Tocantins (TO)",11956,3757,318232.632419484,"Médio Baixo"
1702901,"Axixá do Tocantins (TO)",45825,9756,469710.947109471,"Médio Alto"
1703008,"Babaçulândia (TO)",27162,10664,254707.426856714,"Médio Baixo"
1703057,"Bandeirantes do Tocantins (TO)",11411,3553,321165.212496482,"Médio Baixo"
1703073,"Barra do Ouro (TO)",12354,4591,269091.701154433,"Médio Baixo"
1703107,"Barrolândia (TO)",28065,5632,498313.210227273,"Alto"
1703206,"Bernardo Sayão (TO)",16973,4459,380645.884727517,"Médio Alto"
1703305,"Bom Jesus do Tocantins (TO)",10060,4894,205557.825909277,"Baixo"
1703602,"Brasilândia do Tocantins (TO)",9412,2201,427623.807360291,"Médio Alto"
1703701,"Brejinho de Nazaré (TO)",26394,5497,480152.810623977,"Médio Alto"
1703800,"Buriti do Tocantins (TO)",31367,11348,276409.940077547,"Médio Baixo"
1703826,"Cachoeirinha (TO)",8148,2275,358153.846153846,"Médio Alto"
1703842,"Campos Lindos (TO)",34034,10116,336437.327006722,"Médio Baixo"
1703867,"Cariri do Tocantins (TO)",21844,4382,498493.838429941,"Alto"
1703883,"Carmolândia (TO)",16657,2580,645620.15503876,"Alto"
1703891,"Carrasco Bonito (TO)",7089,4095,173113.553113553,"Muito Baixo"
1703909,"Caseara (TO)",23725,5369,441888.619854722,"Médio Alto"
1704105,"Centenário (TO)",6746,2905,232220.309810671,"Baixo"
