"","cod","nome_muni","uf","pib_per_capita_corrente_2017","ativ_maior_vab_2017","ativ_segundo_maior_vab_2017","ativ_terceiro_maior_vab_2017","ibge_gini_2010","class_pib_per_capita_2017","class_ibge_gini_2010"
"106",2105476,"Jenipapo dos Vieiras","MA",5480.32,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6711,"Muito Baixo","Muito Alto"
"107",2105658,"Junco do Maranhão","MA",13114.82,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5219,"Médio Alto","Baixo"
"108",2110856,"São Francisco do Brejão","MA",8115.26,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5253,"Baixo","Médio Baixo"
"109",2111052,"São João do Paraíso","MA",10674.65,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5336,"Médio Baixo","Médio Baixo"
"110",2111573,"São Pedro dos Crentes","MA",11274.14,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.506,"Médio Baixo","Baixo"
"111",2111805,"Sítio Novo","MA",8016.95,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5986,"Baixo","Alto"
"112",5101001,"Araguaiana","MT",22734.83,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4419,"Alto","Muito Baixo"
"113",5102850,"Castanheira","MT",16051.25,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5511,"Médio Alto","Médio Baixo"
"114",5103106,"Cocalinho","MT",24918.43,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.492,"Alto","Baixo"
"115",5103379,"Cotriguaçu","MT",10760.44,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.58,"Médio Baixo","Médio Alto"
"116",5103809,"Figueirópolis D'Oeste","MT",16898.32,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4308,"Médio Alto","Muito Baixo"
"117",5105507,"Vila Bela da Santíssima Trindade","MT",20687.06,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5971,"Alto","Médio Alto"
"118",5106158,"Nova Bandeirantes","MT",13941.11,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6444,"Médio Alto","Muito Alto"
"119",5106828,"Porto Esperidião","MT",16423.55,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6001,"Médio Alto","Alto"
"120",5106851,"Porto Estrela","MT",18103.62,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5251,"Médio Alto","Médio Baixo"
"121",5107008,"Poxoréu","MT",31305.8,"Agricultura, inclusive apoio à agricultura e a pós colheita","Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social",0.5159,"Alto","Baixo"
"122",5107297,"São José do Povo","MT",10973.66,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4438,"Médio Baixo","Muito Baixo"
"123",5107578,"Rondolândia","MT",16612.99,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.534,"Médio Alto","Médio Baixo"
"124",5107750,"Salto do Céu","MT",16987.73,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.481,"Médio Alto","Muito Baixo"
"125",5108352,"Vale de São Domingos","MT",16057.89,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4355,"Médio Alto","Muito Baixo"
"126",1100064,"Colorado do Oeste","RO",18413.74,"Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária",0.5154,"Médio Alto","Baixo"
"127",1100098,"Espigão D'Oeste","RO",17498.71,"Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária",0.5399,"Médio Alto","Médio Baixo"
"128",1100148,"Nova Brasilândia D'Oeste","RO",16598.42,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita","Pecuária, inclusive apoio à pecuária",0.5688,"Médio Alto","Médio Alto"
"129",1100155,"Ouro Preto do Oeste","RO",19560.69,"Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária",0.4947,"Médio Alto","Baixo"
"130",1100379,"Alto Alegre dos Parecis","RO",23883.26,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária",0.5491,"Alto","Médio Baixo"
"131",1101104,"Itapuã do Oeste","RO",15599.18,"Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária",0.4771,"Médio Alto","Muito Baixo"
