"","cod_muni","muni","royalties_cfh_energia_eletrica","class_royalties_cfh","royalties_cfem_mineracao","class_royalties_cfem_mineracao"
"349",1300102,"Anori (AM)",0,0,0,0
"350",1300144,"Apuí (AM)",0,0,0,0
"351",1300201,"Atalaia do Norte (AM)",0,0,0,0
"352",1300300,"Autazes (AM)",0,0,0,0
"353",1300508,"Barreirinha (AM)",0,0,0,0
"354",1300607,"Benjamin Constant (AM)",0,0,0,0
"355",1300631,"Beruri (AM)",0,0,0,0
"356",1300680,"Boa Vista do Ramos (AM)",0,0,0,0
"357",1300706,"Boca do Acre (AM)",0,0,0,0
"358",1300839,"Caapiranga (AM)",0,0,0,0
"359",1300904,"Canutama (AM)",0,0,0,0
"360",1301100,"Careiro (AM)",0,0,0,0
"361",1301308,"Codajás (AM)",0,0,0,0
"362",1301506,"Envira (AM)",0,0,0,0
"363",1301605,"Fonte Boa (AM)",0,0,0,0
"364",1301654,"Guajará (AM)",0,0,0,0
"365",1301803,"Ipixuna (AM)",0,0,0,0
"366",1301951,"Itamarati (AM)",0,0,0,0
"367",1302009,"Itapiranga (AM)",0,0,0,0
"368",1302108,"Japurá (AM)",0,0,0,0
"369",1302207,"Juruá (AM)",0,0,0,0
"370",1302553,"Manaquiri (AM)",0,0,0,0
