"","cod_muni","muni","arroz_em_casca_1","milho_em_grao_1","soja_em_grao_1","valor_producao","class_valor_producao"
"239",2101202,"Bacabal (MA)",9,62,0,71,"Médio Baixo"
"240",2101400,"Balsas (MA)",1107,217660,452423,671190,"Muito Alto"
"241",2101608,"Barra do Corda (MA)",38,325,0,363,"Médio Baixo"
"242",2101806,"Benedito Leite (MA)",114,75,0,189,"Médio Baixo"
"243",2102002,"Bom Jardim (MA)",21,468,0,489,"Médio Baixo"
"244",2102036,"Bom Jesus das Selvas (MA)",0,736,0,736,"Médio Alto"
"245",2102077,"Bom Lugar (MA)",19,9,0,28,"Baixo"
"246",2102150,"Brejo de Areia (MA)",37,42,0,79,"Médio Baixo"
"247",2102309,"Buriti Bravo (MA)",14,147,0,161,"Médio Baixo"
"248",2102325,"Buriticupu (MA)",35,585,15272,15892,"Médio Alto"
"249",2102358,"Buritirana (MA)",4,156,0,160,"Médio Baixo"
"250",2102556,"Campestre do Maranhão (MA)",0,123,0,123,"Médio Baixo"
"251",2102804,"Carolina (MA)",751,22281,0,23032,"Médio Alto"
"252",2102903,"Carutapera (MA)",12,12,0,24,"Baixo"
"253",2103000,"Caxias (MA)",66,439,0,505,"Médio Baixo"
"254",2103158,"Centro do Guilherme (MA)",0,9,0,9,"Muito Baixo"
"255",2103174,"Centro Novo do Maranhão (MA)",0,6,0,6,"Muito Baixo"
"256",2103257,"Cidelândia (MA)",0,115,0,115,"Médio Baixo"
"257",2103307,"Codó (MA)",111,198,0,309,"Médio Baixo"
"258",2103505,"Colinas (MA)",3,118,0,121,"Médio Baixo"
"259",2103604,"Coroatá (MA)",43,103,0,146,"Médio Baixo"
"260",2103802,"Dom Pedro (MA)",0,30,0,30,"Baixo"
"261",2104008,"Esperantinópolis (MA)",5,19,0,24,"Baixo"
"262",2104057,"Estreito (MA)",57,115,0,172,"Médio Baixo"
"263",2104073,"Feira Nova do Maranhão (MA)",220,379,0,599,"Médio Baixo"
"264",2104081,"Fernando Falcão (MA)",37,12,0,49,"Baixo"
"265",2104099,"Formosa da Serra Negra (MA)",303,369,0,672,"Médio Alto"
"266",2104107,"Fortaleza dos Nogueiras (MA)",286,4081,0,4367,"Médio Alto"
"267",2104206,"Fortuna (MA)",20,745,0,765,"Médio Alto"
"268",2104404,"Gonçalves Dias (MA)",55,52,0,107,"Médio Baixo"
"269",2104552,"Governador Edison Lobão (MA)",0,48,0,48,"Baixo"
"270",2104602,"Governador Eugênio Barros (MA)",0,109,0,109,"Médio Baixo"
"271",2104628,"Governador Luiz Rocha (MA)",0,1317,0,1317,"Médio Alto"
"272",2104651,"Governador Newton Bello (MA)",12,14,0,26,"Baixo"
"273",2104677,"Governador Nunes Freire (MA)",0,14,0,14,"Muito Baixo"
"274",2104701,"Graça Aranha (MA)",21,23,0,44,"Baixo"
"275",2104800,"Grajaú (MA)",2509,7182,25226,34917,"Alto"
"276",2105302,"Imperatriz (MA)",0,39,0,39,"Baixo"
"277",2105351,"Itaipava do Grajaú (MA)",20,120,0,140,"Médio Baixo"
"278",2105427,"Itinga do Maranhão (MA)",0,1047,8866,9913,"Médio Alto"
"279",2105450,"Jatobá (MA)",0,105,0,105,"Médio Baixo"
"280",2105476,"Jenipapo dos Vieiras (MA)",13,61,0,74,"Médio Baixo"
"281",2105609,"Joselândia (MA)",0,18,0,18,"Baixo"
"282",2105658,"Junco do Maranhão (MA)",3,4,0,7,"Muito Baixo"
"283",2105708,"Lago da Pedra (MA)",23,51,0,74,"Médio Baixo"
"284",2105807,"Lago do Junco (MA)",0,185,0,185,"Médio Baixo"
"285",2105948,"Lago dos Rodrigues (MA)",0,187,0,187,"Médio Baixo"
"286",2105963,"Lagoa Grande do Maranhão (MA)",6,43,0,49,"Baixo"
"287",2105989,"Lajeado Novo (MA)",51,435,0,486,"Médio Baixo"
"288",2106102,"Loreto (MA)",770,24414,103894,129078,"Alto"
"289",2106359,"Marajá do Sena (MA)",51,49,0,100,"Médio Baixo"
"290",2106631,"Matões do Norte (MA)",152,0,0,152,"Médio Baixo"
"291",2106706,"Mirador (MA)",110,90,0,200,"Médio Baixo"
"292",2107001,"Montes Altos (MA)",5,3312,0,3317,"Médio Alto"
"293",2107258,"Nova Colinas (MA)",10,1321,0,1331,"Médio Alto"
"294",2107308,"Nova Iorque (MA)",13,233,0,246,"Médio Baixo"
"295",2107357,"Nova Olinda do Maranhão (MA)",0,10,0,10,"Muito Baixo"
"296",2107704,"Paraibano (MA)",89,652,0,741,"Médio Alto"
"297",2108009,"Pastos Bons (MA)",204,3057,0,3261,"Médio Alto"
"298",2108108,"Paulo Ramos (MA)",33,49,0,82,"Médio Baixo"
"299",2108256,"Pedro do Rosário (MA)",9,11,0,20,"Baixo"
"300",2108454,"Peritoró (MA)",14,64,0,78,"Médio Baixo"
"301",2108603,"Pinheiro (MA)",0,2,0,2,"Muito Baixo"
"302",2108702,"Pio XII (MA)",4,10,0,14,"Muito Baixo"
"303",2108900,"Poção de Pedras (MA)",9,54,0,63,"Médio Baixo"
"304",2109007,"Porto Franco (MA)",43,348,0,391,"Médio Baixo"
"305",2109106,"Presidente Dutra (MA)",10,137,0,147,"Médio Baixo"
"306",2109502,"Riachão (MA)",399,29394,76381,106174,"Alto"
"307",2109700,"Sambaíba (MA)",42,37645,87149,124836,"Alto"
"308",2109759,"Santa Filomena do Maranhão (MA)",10,27,0,37,"Baixo"
"309",2110005,"Santa Luzia (MA)",110,5812,0,5922,"Médio Alto"
"310",2110302,"Santo Antônio dos Lopes (MA)",0,17,0,17,"Baixo"
"311",2110658,"São Domingos do Azeitão (MA)",2432,1760,74794,78986,"Alto"
"312",2110708,"São Domingos do Maranhão (MA)",15,286,0,301,"Médio Baixo"
"313",2110807,"São Félix de Balsas (MA)",33,116,0,149,"Médio Baixo"
"314",2110856,"São Francisco do Brejão (MA)",0,1445,0,1445,"Médio Alto"
"315",2111052,"São João do Paraíso (MA)",56,200,0,256,"Médio Baixo"
"316",2111078,"São João do Soter (MA)",5,69,0,74,"Médio Baixo"
"317",2111250,"São José dos Basílios (MA)",0,24,0,24,"Baixo"
"318",2111409,"São Luís Gonzaga do Maranhão (MA)",12,5,0,17,"Baixo"
"319",2111508,"São Mateus do Maranhão (MA)",4020,0,0,4020,"Médio Alto"
"320",2111573,"São Pedro dos Crentes (MA)",35,118,0,153,"Médio Baixo"
"321",2111607,"São Raimundo das Mangabeiras (MA)",68,665,0,733,"Médio Alto"
"322",2111631,"São Raimundo do Doca Bezerra (MA)",11,55,0,66,"Médio Baixo"
"323",2111722,"Satubinha (MA)",0,16,0,16,"Baixo"
"324",2111748,"Senador Alexandre Costa (MA)",0,27,0,27,"Baixo"
"325",2111763,"Senador La Rocque (MA)",0,5,0,5,"Muito Baixo"
"326",2111805,"Sítio Novo (MA)",131,1141,0,1272,"Médio Alto"
"327",2111904,"Sucupira do Norte (MA)",17,59,0,76,"Médio Baixo"
"328",2112001,"Tasso Fragoso (MA)",48,79055,19977,99080,"Alto"
"329",2112100,"Timbiras (MA)",30,18,0,48,"Baixo"
"330",2112308,"Tuntum (MA)",21,1592,0,1613,"Médio Alto"
"331",2112456,"Turilândia (MA)",0,16,0,16,"Baixo"
"332",2112704,"Vargem Grande (MA)",8,0,0,8,"Muito Baixo"
"333",2112902,"Vitória do Mearim (MA)",913,12,0,925,"Médio Alto"
"334",2113009,"Vitorino Freire (MA)",0,25,0,25,"Baixo"
"335",2114007,"Zé Doca (MA)",25,14,0,39,"Baixo"
"336",5100201,"Água Boa (MT)",0,27618,308399,336017,"Muito Alto"
"337",5100250,"Alta Floresta (MT)",0,7484,28013,35497,"Alto"
"338",5100300,"Alto Araguaia (MT)",0,8719,66786,75505,"Alto"
"339",5100359,"Alto Boa Vista (MT)",0,0,2299,2299,"Médio Alto"
"340",5100409,"Alto Garças (MT)",0,38218,160681,198899,"Muito Alto"
"341",5100607,"Alto Taquari (MT)",0,52395,58336,110731,"Alto"
"342",5101258,"Araputanga (MT)",0,644,0,644,"Médio Alto"
